2022-10-14 17:02:47.6096 ### 開始錄音(建立 CallRtp) => ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47
2022-10-14 17:02:48.8293 pktIndex=82, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7300, RecvRtpSeq=4598, System.Func`1[System.String]
2022-10-14 17:02:48.8442 pktIndex=83, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7301, RecvRtpSeq=4598, System.Func`1[System.String]
2022-10-14 17:02:48.8594 pktIndex=84, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7301, RecvRtpSeq=4598, System.Func`1[System.String]
2022-10-14 17:02:48.8744 pktIndex=85, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7301, RecvRtpSeq=4599, System.Func`1[System.String]
2022-10-14 17:02:48.8905 pktIndex=86, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7301, RecvRtpSeq=4599, System.Func`1[System.String]
2022-10-14 17:02:48.9054 pktIndex=87, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7302, RecvRtpSeq=4599, System.Func`1[System.String]
2022-10-14 17:02:48.9054 pktIndex=88, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7302, RecvRtpSeq=4599, System.Func`1[System.String]
2022-10-14 17:02:48.9355 pktIndex=89, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7302, RecvRtpSeq=4600, System.Func`1[System.String]
2022-10-14 17:02:48.9504 pktIndex=90, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7302, RecvRtpSeq=4600, System.Func`1[System.String]
2022-10-14 17:02:48.9654 pktIndex=91, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7303, RecvRtpSeq=4600, System.Func`1[System.String]
2022-10-14 17:02:48.9804 pktIndex=92, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7303, RecvRtpSeq=4600, System.Func`1[System.String]
2022-10-14 17:02:48.9954 pktIndex=93, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7303, RecvRtpSeq=4601, System.Func`1[System.String]
2022-10-14 17:02:49.0104 pktIndex=94, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7303, RecvRtpSeq=4601, System.Func`1[System.String]
2022-10-14 17:02:49.0255 pktIndex=95, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7304, RecvRtpSeq=4601, System.Func`1[System.String]
2022-10-14 17:02:49.0406 pktIndex=96, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7304, RecvRtpSeq=4601, System.Func`1[System.String]
2022-10-14 17:02:49.0561 pktIndex=97, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7304, RecvRtpSeq=4602, System.Func`1[System.String]
2022-10-14 17:02:49.0714 pktIndex=98, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7304, RecvRtpSeq=4602, System.Func`1[System.String]
2022-10-14 17:02:49.0875 pktIndex=99, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7305, RecvRtpSeq=4602, System.Func`1[System.String]
2022-10-14 17:02:49.1025 pktIndex=100, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7305, RecvRtpSeq=4602, System.Func`1[System.String]
2022-10-14 17:02:49.1175 pktIndex=101, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7305, RecvRtpSeq=4603, System.Func`1[System.String]
2022-10-14 17:02:49.1325 pktIndex=102, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7305, RecvRtpSeq=4603, System.Func`1[System.String]
2022-10-14 17:02:49.1475 pktIndex=103, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7306, RecvRtpSeq=4603, System.Func`1[System.String]
2022-10-14 17:02:49.1625 pktIndex=104, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7306, RecvRtpSeq=4603, System.Func`1[System.String]
2022-10-14 17:02:49.1777 pktIndex=105, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7306, RecvRtpSeq=4604, System.Func`1[System.String]
2022-10-14 17:02:49.1927 pktIndex=106, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7306, RecvRtpSeq=4604, System.Func`1[System.String]
2022-10-14 17:02:49.2074 pktIndex=107, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7307, RecvRtpSeq=4604, System.Func`1[System.String]
2022-10-14 17:02:49.2224 pktIndex=108, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7307, RecvRtpSeq=4604, System.Func`1[System.String]
2022-10-14 17:02:49.2374 pktIndex=109, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7307, RecvRtpSeq=4605, System.Func`1[System.String]
2022-10-14 17:02:49.2524 pktIndex=110, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7307, RecvRtpSeq=4605, System.Func`1[System.String]
