2022-10-14 17:02:48.1215 RTP: time=[09:02:48:106] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7302, Time=1695330605
2022-10-14 17:02:48.1215 RTP: time=[09:02:48:109] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4600, Time=2744468537
2022-10-14 17:02:48.1215 RTP: time=[09:02:48:109] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4600, Time=2744468537
2022-10-14 17:02:48.1365 RTP: time=[09:02:48:121] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7303, Time=1695330765
2022-10-14 17:02:48.1365 RTP: time=[09:02:48:121] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7303, Time=1695330765
2022-10-14 17:02:48.1515 RTP: time=[09:02:48:136] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4601, Time=2744468697
2022-10-14 17:02:48.1515 RTP: time=[09:02:48:136] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4601, Time=2744468697
2022-10-14 17:02:48.1515 RTP: time=[09:02:48:139] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7304, Time=1695330925
2022-10-14 17:02:48.1515 RTP: time=[09:02:48:139] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7304, Time=1695330925
2022-10-14 17:02:48.1665 RTP: time=[09:02:48:162] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4602, Time=2744468857
