2022-10-18 10:46:03.9226 pktIndex= 107, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50487, PT=0, SSRC=0xC6E984AB, Seq=50487, Time=3845305941
2022-10-18 10:46:03.9376 pktIndex= 108, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50487, PT=0, SSRC=0xC6E984AB, Seq=50487, Time=3845305941
2022-10-18 10:46:03.9536 pktIndex= 109, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28050, PT=0, SSRC=0x84A7D718, Seq=28050, Time=1443589345
2022-10-18 10:46:03.9686 pktIndex= 110, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28050, PT=0, SSRC=0x84A7D718, Seq=28050, Time=1443589345
2022-10-18 10:46:03.9836 pktIndex= 111, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50488, PT=0, SSRC=0xC6E984AB, Seq=50488, Time=3845306101
2022-10-18 10:46:03.9986 pktIndex= 112, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50488, PT=0, SSRC=0xC6E984AB, Seq=50488, Time=3845306101
2022-10-18 10:46:04.0136 pktIndex= 113, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28051, PT=0, SSRC=0x84A7D718, Seq=28051, Time=1443589505
2022-10-18 10:46:04.0286 pktIndex= 114, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28051, PT=0, SSRC=0x84A7D718, Seq=28051, Time=1443589505
2022-10-18 10:46:04.0436 pktIndex= 115, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50489, PT=0, SSRC=0xC6E984AB, Seq=50489, Time=3845306261
2022-10-18 10:46:04.0586 pktIndex= 116, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50489, PT=0, SSRC=0xC6E984AB, Seq=50489, Time=3845306261
2022-10-18 10:46:04.0736 pktIndex= 117, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28052, PT=0, SSRC=0x84A7D718, Seq=28052, Time=1443589665
2022-10-18 10:46:04.0736 pktIndex= 118, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28052, PT=0, SSRC=0x84A7D718, Seq=28052, Time=1443589665
